id,id_instansi,predikat_rb,tahun,nama_instansi
1490,1010,BB,2022,Kementerian Koordinator Bidang Politik  Hukum dan Keamanan
1491,3001,BB,2022,Kementerian Dalam Negeri
1492,3002,BB,2022,Kementerian Luar Negeri
1493,3004,BB,2022,Kementerian Hukum dan Hak Asasi Manusia
1494,3003,BB,2022,Kementerian Pertahanan
1495,3018,BB,2022,Kementerian Komunikasi dan Informatika
1496,2060,,2022,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi
1497,4002,BB,2022,Kejaksaan Agung
1498,4007,BB,2022,Mahkamah Agung
1499,4046,BB,2022,Mahkamah Konstitusi
1500,4049,BB,2022,Komisi Yudisial
1501,4034,BB,2022,Tentara Nasional Indonesia
1502,4033,BB,2022,Kepolisian Negara Republik Indonesia
1503,4001,A,2022,Kementerian Sekretariat Negara
1504,4036,A,2022,Sekretariat Kabinet
1505,4005,BB,2022,Sekretariat Jenderal MPR
1506,4029,B,2022,Sekretariat Jenderal DPD
1507,4026,BB,2022,Sekretariat Jenderal DPR
1508,4010,BB,2022,Badan Siber dan Sandi Negara
1509,4003,A,2022,Badan Intelijen Negara
1510,4052,B,2022,Badan Keamanan Laut Republik Indonesia
1511,4011,BB,2022,Badan Kepegawaian Negara
1512,4012,A,2022,Lembaga Administrasi Negara
1513,4018,BB,2022,Arsip Nasional Republik Indonesia
1514,4040,BB,2022,Badan Narkotika Nasional
1515,4009,B,2022,Setjen Dewan Ketahanan Nasional
1516,4024,BB,2022,Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional
1517,4032,B,2022,Lembaga Ketahanan Nasional
1518,4502,B,2022,Lembaga Perlindungan Saksi dan Korban
1519,4044,BB,2022,Komisi Nasional Hak Asasi Manusia
1520,4041,BB,2022,Komisi Pemilihan Umum
1521,4062,BB,2022,Badan Pengawasan Pemilihan Umum
1522,4047,BB,2022,Komisi Pemberantasan Korupsi
1523,4060,B,2022,Badan Nasional Penanggulangan Terorisme
1524,4059,B,2022,Badan Nasional Pengelola Perbatasan
1525,4057,B,2022,Televisi Republik Indonesia
1526,4058,B,2022,Radio Republik Indonesia
1527,4056,BB,2022,Ombudsman Republik Indonesia
1528,4112,BB,2022,Komisi Aparatur Sipil Negara
1529,1020,BB,2022,Kementerian Koordinator Bidang Perekonomian
1530,3005,A,2022,Kementerian Keuangan
1531,3020,BB,2022,Kementerian Perindustrian
1532,3019,A,2022,Kementerian Perdagangan
1533,3006,BB,2022,Kementerian Pertanian
1534,3015,BB,2022,Kementerian Lingkungan Hidup dan Kehutanan
1535,3013,BB,2022,Kementerian Ketenagakerjaan
1536,3021,BB,2022,Kementerian Pekerjaan Umum dan Perumahan Rakyat
1537,4064,BB,2022,Badan Riset dan Inovasi Nasional
1538,2010,BB,2022,Kementerian Koperasi dan Usaha Kecil dan Menengah
1539,2120,BB,2022,Kementerian Desa  Pembangunan Daerah Tertinggal dan Transmigrasi
1540,4017,A,2022,Kementerian Perencanaan Pembangunan Nasional/Badan Perencanaan Pembangunan Nasional
1541,2040,BB,2022,Kementerian Badan Usaha Milik Negara
1542,4055,BB,2022,Pusat Pelaporan dan Analisis Transaksi Keuangan
1543,4008,A,2022,Badan Pemeriksa Keuangan
1544,4016,BB,2022,Badan Pusat Statistik
1545,4023,A,2022,Badan Pengawasan Keuangan dan Pembangunan
1546,4627,BB,2022,Badan Pelindungan Pekerja Migran Indonesia
1547,4054,BB,2022,Lembaga Kebijakan Pengadaan Barang dan Jasa Pemerintah
1548,4027,BB,2022,Badan Standardisasi Nasional
1549,4028,BB,2022,Badan Pengawas Tenaga Nuklir
1550,4035,BB,2022,Badan Meteorologi Klimatologi dan Geofisika
1551,4019,BB,2022,Badan Informasi Geospasial
1552,4021,BB,2022,Kementerian Investasi/Badan Koordinasi Penanaman Modal
1553,4061,,2022,Komisi Pengawas Persaingan Usaha
1554,4314,,2022,Badan Pengembangan Wilayah Suramadu
1555,4045,CC,2022,Badan Pengusahaan Batam
1556,1030,BB,2022,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan
1557,3011,A,2022,Kementerian Kesehatan
1558,3010,BB,2022,Kementerian Pendidikan  Kebudayaan  Riset  dan Teknologi
1559,3014,BB,2022,Kementerian Sosial
1560,3012,BB,2022,Kementerian Agama
1561,2050,BB,2022,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak
1562,2100,B,2022,Kementerian Pemuda dan Olahraga
1563,4308,,2022,Badan Penanggulangan Lumpur Sidoarjo
1564,4020,BB,2022,Badan Kependudukan dan Keluarga Berencana Nasional
1565,4053,BB,2022,Badan SAR Nasional/Badan Nasional Pencarian Pertolongan
